Table 1
Total population,"8,004,759","14,850",0.1,100.0%,,"8,198,393","6,197",0.0,100.0%,,"8,736,402","4,569",0.0,100.0%,,"538,009","7,699",6.6%,0.1%,,
Under 16 years,"1,719,478","10,831",0.4,21.5%,0.1%,"1,567,117","2,750",0.1,19.1%,0.0%,"1,630,284","2,647",0.1,18.7%,0.0%,"63,167","3,817",4.0%,0.2%,-0.4,0.0
16 to 64 years,"5,340,158","12,428",0.1,66.7%,0.1%,"5,629,134","6,442",0.1,68.7%,0.1%,"5,788,026","4,796",0.1,66.3%,0.0%,"158,892","8,031",2.8%,0.1%,-2.4,0.1
65 years and over,"945,123","8,510",0.5,11.8%,0.1%,"1,002,142","2,984",0.2,12.2%,0.0%,"1,318,092","1,946",0.1,15.1%,0.0%,"315,950","3,562",31.5%,0.4%,2.9,0.0
Median age (years),34.5,0.1,0.2,,,35.6,0.1,0.2,,,37.4,0.1,0.1,,,2.0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 1.02.A: Age - Asian Non-Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Asian non-Hispanic population,"780,780","13,242",1.0,100.0%,,"1,044,884","4,120",0.2,100.0%,,"1,233,322","5,485",0.3,100.0%,,"188,438","6,860",18.0%,0.7%,,
Under 16 years,"149,542","3,571",1.5,19.2%,0.3%,"173,109","1,932",0.7,16.6%,0.2%,"201,671","2,456",0.7,16.4%,0.2%,"28,562","3,125",16.5%,1.9%,-0.2,0.3
16 to 64 years,"571,883","6,793",0.7,73.2%,1.5%,"770,591","3,318",0.3,73.7%,0.1%,"859,049","4,009",0.3,69.7%,0.1%,"88,458","5,204",11.5%,0.7%,-4.0,0.1
65 years and over,"59,355","2,263",2.3,7.6%,0.3%,"101,184","1,147",0.7,9.7%,0.1%,"172,602","1,976",0.7,14.0%,0.1%,"71,418","2,285",70.6%,2.7%,4.3,0.1
Median age (years),33.9,0.3,0.5,,,36.2,0.2,0.4,,,38.9,0.2,0.3,,,3.0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 1.02.B: Age - Black Non-Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Black non-Hispanic population,"1,951,027","19,162",0.6,100.0%,,"1,881,656","5,355",0.2,100.0%,,"1,838,975","7,075",0.2,100.0%,,"-42,681","8,873",-2.3%,0.5%,,
Under 16 years,"499,728","6,381",0.8,25.6%,0.2%,"389,897","2,503",0.4,20.7%,0.1%,"341,500","2,672",0.5,18.6%,0.1%,"-48,397","3,661",-12.4%,0.9%,-2.1,0.1
16 to 64 years,"1,265,106","9,620",0.5,64.8%,0.8%,"1,275,026","3,938",0.2,67.8%,0.1%,"1,223,188","5,343",0.3,66.5%,0.1%,"-51,838","6,637",-4.1%,0.5%,-1.3,0.1
65 years and over,"186,193","3,975",1.3,9.5%,0.2%,"216,733","2,013",0.6,11.5%,0.1%,"274,287","2,144",0.5,14.9%,0.1%,"57,554","2,941",26.6%,1.5%,3.4,0.1
Median age (years),32.8,0.2,0.4,,,35.9,0.2,0.4,,,38.4,0.2,0.4,,,3.0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 1.02.H: Age - Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Hispanic population,"2,150,965","19,785",0.6,100.0%,,"2,343,412","2,054",0.1,100.0%,,"2,521,173","2,215",0.1,100.0%,,"177,761","3,021",7.6%,0.1%,,
Under 16 years,"585,894","6,869",0.7,27.2%,0.2%,"552,701","1,449",0.2,23.6%,0.1%,"555,347","1,742",0.2,22.0%,0.1%,"2,646","2,266",0.5%,0.4%,-1.6,0.1
16 to 64 years,"1,426,381","10,092",0.4,66.3%,0.8%,"1,592,248","2,515",0.1,67.9%,0.1%,"1,675,756","2,687",0.1,66.5%,0.1%,"83,508","3,680",5.2%,0.2%,-1.4,0.1
65 years and over,"138,690","3,441",1.5,6.4%,0.1%,"198,463","1,083",0.3,8.5%,0.0%,"290,070",835,0.2,11.5%,0.0%,"91,607","1,368",46.2%,0.9%,3.0,0.0
Median age (years),29.3,0.2,0.4,,,31.4,0.2,0.3,,,34.3,0.2,0.3,,,3.0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 1.02.W: Age - White Non-Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
White non-Hispanic population,"2,810,842","21,304",0.5,100.0%,,"2,725,268","4,898",0.1,100.0%,,"2,792,057","4,191",0.1,100.0%,,"66,789","6,446",2.5%,0.2%,,
Under 16 years,"407,772","5,799",0.9,14.5%,0.2%,"397,521","1,335",0.2,14.6%,0.0%,"437,740","1,704",0.2,15.7%,0.1%,"40,219","2,165",10.1%,0.6%,1.1,0.1
16 to 64 years,"1,863,536","11,146",0.4,66.3%,0.6%,"1,856,189","4,189",0.1,68.1%,0.1%,"1,813,783","3,088",0.1,65.0%,0.1%,"-42,406","5,204",-2.3%,0.3%,-3.1,0.1
65 years and over,"539,534","6,612",0.7,19.2%,0.2%,"471,558","2,106",0.3,17.3%,0.1%,"540,534","1,795",0.2,19.4%,0.1%,"68,976","2,767",14.6%,0.6%,2.1,0.1
Median age (years),40.7,0.2,0.3,,,39.7,0.2,0.3,,,39.6,0.2,0.2,,,0.0,0.0,,,,
Table 1.03.T: Foreign-born Population - Total Population,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Total population,"8,004,759","14,850",0.1,100.0%,,"8,198,393","6,197",0.0,100.0%,,"8,736,402","4,569",0.0,100.0%,,"538,009","7,699",6.6%,0.1%,,
Foreign-born,"2,871,135","14,595",0.3,35.9%,0.2%,"3,039,734","14,324",0.3,37.1%,0.2%,"3,183,340","18,499",0.4,36.4%,0.2%,"143,606","23,396",4.7%,0.8%,-0.7,0.3
,,,,,,,,,,,,,,,,,,,,,
Table 1.03.A: Foreign-born Population - Asian Non-Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Asian non-Hispanic population,"780,780","13,242",1.0,100.0%,,"1,044,884","4,120",0.2,100.0%,,"1,233,322","5,485",0.3,100.0%,,"188,438","6,860",18.0%,0.7%,,
Foreign-born,"608,337","8,064",0.8,77.9%,1.7%,"762,190","5,769",0.5,72.9%,0.5%,"855,486","5,963",0.4,69.4%,0.4%,"93,296","8,297",12.2%,1.2%,-3.5,0.6
,,,,,,,,,,,,,,,,,,,,,
Table 1.03.B: Foreign-born Population - Black Non-Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Black non-Hispanic population,"1,951,027","19,162",0.6,100.0%,,"1,881,656","5,355",0.2,100.0%,,"1,838,975","7,075",0.2,100.0%,,"-42,681","8,873",-2.3%,0.5%,,
Foreign-born,"552,617","7,715",0.8,28.3%,0.3%,"612,101","7,818",0.8,32.5%,0.4%,"578,893","8,217",0.9,31.5%,0.4%,"-33,208","11,342",-5.4%,1.8%,-1.0,0.6
,,,,,,,,,,,,,,,,,,,,,
Table 1.03.H: Foreign-born Population - Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Hispanic population,"2,150,965","19,785",0.6,100.0%,,"2,343,412","2,054",0.1,100.0%,,"2,521,173","2,215",0.1,100.0%,,"177,761","3,021",7.6%,0.1%,,
Foreign-born,"886,485","9,550",0.7,41.2%,0.2%,"964,351","8,274",0.5,41.2%,0.4%,"1,006,795","11,782",0.7,39.9%,0.5%,"42,444","14,397",4.4%,1.5%,-1.3,0.6
,,,,,,,,,,,,,,,,,,,,,
Table 1.03.W: Foreign-born Population - White Non-Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
White non-Hispanic population,"2,810,842","21,304",0.5,100.0%,,"2,725,268","4,898",0.1,100.0%,,"2,792,057","4,191",0.1,100.0%,,"66,789","6,446",2.5%,0.2%,,
Foreign-born,"656,328","8,349",0.8,23.3%,0.2%,"618,933","6,908",0.7,22.7%,0.3%,"614,741","8,864",0.9,22.0%,0.3%,"-4,192","11,238",-0.7%,1.8%,-0.7,0.4
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 1.04.T: Limited English Speaking Population - Total Population,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Population 5 years and over,"7,472,216","6,572",0.1,100.0%,,"7,671,908","6,336",0.1,100.0%,,"8,194,266","4,814",0.0,100.0%,,"522,358","7,957",6.8%,0.1%,,
"Speak English less than ""very well""","1,767,911","13,465",0.5,23.7%,0.2%,"1,793,349","12,516",0.4,23.4%,0.2%,"1,816,630","14,852",0.5,22.2%,0.2%,"23,281","19,422",1.3%,1.1%,-1.2,0.3
,,,,,,,,,,,,,,,,,,,,,
Table 1.04.A: Limited English Speaking Population - Asian Non-Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Asian non-Hispanic population 5 years and over,"734,014","7,611",0.6,100.0%,,"989,333","3,937",0.2,100.0%,,"1,163,479","5,024",0.3,100.0%,,"174,146","6,383",17.6%,0.7%,,
"Speak English less than ""very well""","377,811","6,883",1.1,51.5%,0.8%,"476,583","5,590",0.7,48.2%,0.5%,"543,527","6,835",0.8,46.7%,0.6%,"66,944","8,830",14.0%,2.0%,-1.5,0.8
,,,,,,,,,,,,,,,,,,,,,
Table 1.04.B: Limited English Speaking Population - Black Non-Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Black non-Hispanic population 5 years and over,"1,807,925","11,028",0.4,100.0%,,"1,763,778","5,034",0.2,100.0%,,"1,735,284","6,855",0.2,100.0%,,"-28,494","8,505",-1.6%,0.5%,,
"Speak English less than ""very well""","91,551","3,451",2.3,5.1%,0.2%,"95,612","4,334",2.8,5.4%,0.2%,"89,206","3,874",2.6,5.1%,0.2%,"-6,406","5,813",-6.7%,5.9%,-0.3,0.3
,,,,,,,,,,,,,,,,,,,,,
Table 1.04.H: Limited English Speaking Population - Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Hispanic population 5 years and over,"1,969,970","11,360",0.4,100.0%,,"2,159,306","2,327",0.1,100.0%,,"2,347,367","2,208",0.1,100.0%,,"188,061","3,208",8.7%,0.2%,,
"Speak English less than ""very well""","886,152","10,185",0.7,45.0%,0.4%,"882,973","8,790",0.6,40.9%,0.4%,"856,570","10,543",0.7,36.5%,0.4%,"-26,403","13,727",-3.0%,1.5%,-4.4,0.6
,,,,,,,,,,,,,,,,,,,,,
Table 1.04.W: Limited English Speaking Population - White Non-Hispanic,,,,,,,,,,,,,,,,,,,,,
,"Census PUMS, 2000",,,,,"ACS PUMS, 2008-2012",,,,,"ACS PUMS, 2017-2021",,,,,"Change, 2008-2012 to 2017-2021",,,,,
,Number,,,Percent,,Number,,,Percent,,Number,,,Percent,,Number,,Percent,,Pctg. Pt.,
,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,CV,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
White non-Hispanic population 5 years and over,"2,676,198","12,442",0.3,100.0%,,"2,577,359","4,732",0.1,100.0%,,"2,635,056","3,928",0.1,100.0%,,"57,697","6,150",2.2%,0.2%,,
"Speak English less than ""very well""","355,646","6,688",1.1,13.3%,0.2%,"320,080","5,654",1.1,12.4%,0.2%,"301,707","6,145",1.2,11.4%,0.2%,"-18,373","8,350",-5.7%,2.5%,-1.0,0.3
