SOURCE_PATH	SIZE	CATEGORY	REASON
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Resources/AppIcon.icns	48K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Resources/SwiftProtobuf_SwiftProtobuf.bundle/Contents/Resources/PrivacyInfo.xcprivacy	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Resources/SwiftProtobuf_SwiftProtobuf.bundle/Contents/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Resources/MainMenu.nib	12K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Resources/Assets.car	1.5M	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/XPCServices/Grammarly Desktop Web Content.xpc/Contents/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/XPCServices/Grammarly Desktop Web Content.xpc/Contents/Resources/AppIcon.icns	48K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/XPCServices/Grammarly Desktop Web Content.xpc/Contents/Resources/Assets.car	1.5M	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/XPCServices/GRLlamaOnboarding.xpc/Contents/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/XPCServices/GRLlamaOnboarding.xpc/Contents/Resources/AppIcon.icns	48K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/XPCServices/GRLlamaOnboarding.xpc/Contents/Resources/MainMenu.nib	12K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/XPCServices/GRLlamaOnboarding.xpc/Contents/Resources/Assets.car	1.5M	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/_CodeSignature/CodeResources	32K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/runtime.js	68K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/KH_Onboarding_1.mp4	396K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/KH_Onboarding_3.mp4	352K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/KH_Onboarding_2.mp4	1.1M	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/GRAMMARLY DESKTOP (MAC) OSS ATTRIBUTIONS.pdf	64K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Notch-Context-Switcher.mp4	3.5M	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Notch-Intro.mp4	5.0M	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Assets.car	5.0M	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Notch-Placement.mp4	3.0M	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/GOSJavaScriptCoreMessageTransport.js	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/TouchTypistArmedSound.m4a	80K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Fonts/MatterforGrammarly-Heavy.ttf	88K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Fonts/Inter-Medium.ttf	308K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Fonts/MatterforGrammarly-Medium.ttf	88K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Fonts/Inter-Bold.ttf	392K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Fonts/Inter-Regular.ttf	376K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Fonts/MatterforGrammarly-Regular.ttf	88K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Fonts/Inter-BoldItalic.ttf	396K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Fonts/MatterforGrammarly-Bold.ttf	88K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Fonts/Inter-Italic.ttf	384K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Fonts/MatterforGrammarly-SemiBold.ttf	88K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/TouchTypistAppliedSound.m4a	80K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Resources/GOSJavaScriptNativeMethods.js	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/OpenAPIRuntime_-69B1240F2F7780A2_PackageProduct.framework/Versions/A/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/OpenAPIRuntime_-69B1240F2F7780A2_PackageProduct.framework/Versions/A/Resources/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/OpenAPIURLSession_577DC41420760B54_PackageProduct.framework/Versions/A/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/OpenAPIURLSession_577DC41420760B54_PackageProduct.framework/Versions/A/Resources/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/WebUI.framework/Versions/A/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/WebUI.framework/Versions/A/Resources/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/WebUI.framework/Versions/A/Helpers/Grammarly Web UI.app/Contents/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/WebUI.framework/Versions/A/Helpers/Grammarly Web UI.app/Contents/Resources/icon.icns	172K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/GRDox.framework/Versions/A/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/GRDox.framework/Versions/A/Resources/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/AVIModels_2A84CAD3BB04A54D_PackageProduct.framework/Versions/A/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/AVIModels_2A84CAD3BB04A54D_PackageProduct.framework/Versions/A/Resources/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/ZIPFoundation.framework/Versions/A/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/ZIPFoundation.framework/Versions/A/Resources/PrivacyInfo.xcprivacy	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/ZIPFoundation.framework/Versions/A/Resources/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/GROAuth2.framework/Versions/A/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/GROAuth2.framework/Versions/A/Resources/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/GRNativeMessagingCore.framework/Versions/A/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/GRNativeMessagingCore.framework/Versions/A/Resources/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/GRPassport.framework/Versions/A/_CodeSignature/CodeResources	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/GRPassport.framework/Versions/A/Resources/Info.plist	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/Sparkle.framework/Versions/A/_CodeSignature/CodeResources	68K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/Sparkle.framework/Versions/A/Resources/de.lproj/Sparkle.strings	12K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/Sparkle.framework/Versions/A/Resources/de.lproj/SUAutomaticUpdateAlert.strings	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
/Users/sethadmin/ZZ_ARCHIVE_HOLD_iCloudDriveArchive_DO_NOT_USE_AS_ACTIVE_ROOT_20260524/Desktop/Desktop - SFMacBook Pro M5/Grammarly_quarantine/Grammarly Desktop.app/Contents/Frameworks/ProjectLlamaContent.framework/Versions/A/Frameworks/Sparkle.framework/Versions/A/Resources/de.lproj/SUUpdatePermissionPrompt.strings	4.0K	CITATIONS_SOURCES	Possible citation/source registry material
