who_owns_what_export
housenumber,streetname,zip,boro,registrationid,lastregistrationdate,registrationenddate,bbl,bin,hpdbuildingid,hpdbuildings,corpnames,businessaddrs,ownernames,allcontacts,totalviolations,openviolations,totalcomplaints,recentcomplaints,recentcomplaintsbytype,unitsres,yearbuilt,council,lat,lng,evictions,rsunits2007,rsunitslatest,rsunitslatestyear,rsdiff,yearstartedj51,yearstarted421a,lastsaleacrisid,lastsaledate,lastsaleamount,evictionfilings
69,WEST 106TH STREET,10025,MANHATTAN,110427,2024-08-02,2025-09-01,1018427502,1055674,37650,1,NEWGENT MANAGEMENT LLC; 69 WEST 106 STREET CONDO ASSOCIATION,20 SOUTH BROADWAY MEZZAN 10701,"FAIZ AHMED (SiteManager), FAIZ AHMED (Officer), FAIZ AHMED (Agent), CIARA LINNANE (HeadOfficer)","FAIZ AHMED (Agent), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; CIARA LINNANE (HeadOfficer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (Officer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (SiteManager); 69 WEST 106 STREET CONDO ASSOCIATION (Corporation), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; NEWGENT MANAGEMENT LLC (Corporation), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701",30,22,18,4,"GARBAGE/RECYCLING STORAGE (2), HEAT/HOT WATER (1), SIGNAGE MISSING (1)",11,1900,7,40.7992924,-73.9622672,,,,2022,,,,,,,0
1760,AMSTERDAM AVENUE,10031,MANHATTAN,107759,2024-08-26,2025-09-01,1020790029,1061983,5646,1,501 W 147 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 501 W 147 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",155,8,213,9,"HEAT/HOT WATER (5), ELECTRIC (3), APPLIANCE (1)",17,1930,7,40.8267774,-73.9468841,1,17,17,2022,0,,,2021101200892001,2021-10-06,8500000,19
1764,AMSTERDAM AVENUE,10031,MANHATTAN,107758,2024-08-26,2025-09-01,1020790030,1061984,5649,1,501 W 147 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 501 W 147 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",31,4,77,14,"HEAT/HOT WATER (3), PAINT/PLASTER (3), FLOORING/STAIRS (3), WATER LEAK (3), PLUMBING (2)",8,1930,7,40.8268515,-73.9468335,,7,8,2022,1,,,2015061201210002,2015-06-01,1326832,
1766,AMSTERDAM AVENUE,10031,MANHATTAN,107757,2024-08-26,2025-09-01,1020790031,1061985,5650,1,501 W 147 LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 501 W 147 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",41,3,88,13,"WATER LEAK (4), PAINT/PLASTER (3), PLUMBING (2), FLOORING/STAIRS (2), MOLD (1), APPLIANCE (1)",8,1930,7,40.8268982,-73.9467973,,9,8,2022,-1,,,2021101200892001,2021-10-06,8500000,
512,WEST 156TH STREET,10032,MANHATTAN,108031,2024-08-02,2025-09-01,1021140030,1062691,42706,1,NEWGENT MANGERMENT LLC; 512 WEST 156TH STREET HDFC,20 SOUTH BROADWAY MEZZAN 10701; 512 WEST 156TH STREET 10032,"FAIZ AHMED (Officer), FAIZ AHMED (SiteManager), MARTHA GOMEZ (HeadOfficer), FAIZ AHMED (Agent)","FAIZ AHMED (Agent), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; MARTHA GOMEZ (HeadOfficer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (Officer), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701; FAIZ AHMED (SiteManager); 512 WEST 156TH STREET HDFC (Corporation), 512 WEST 156TH STREET NEW YORK, NY 10032; NEWGENT MANGERMENT LLC (Corporation), 20 SOUTH BROADWAY MEZZAN YONKERS, NY 10701",405,121,436,89,"HEAT/HOT WATER (48), PLUMBING (23), PESTS (5), MOLD (3), PAINT/PLASTER (3), WATER LEAK (2), DOOR/WINDOW (2), ELECTRIC (1), GARBAGE/RECYCLING STORAGE (1), SAFETY (1)",20,1908,10,40.8323503,-73.9433347,,0,0,2022,0,,,,,,3
2192,AMSTERDAM AVENUE,10032,MANHATTAN,128411,2024-08-26,2025-09-01,1021250042,1063007,5816,1,2192 A LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2192 A LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",84,6,106,59,"HEAT/HOT WATER (11), FLOORING/STAIRS (11), PLUMBING (7), PESTS (7), DOOR/WINDOW (7), PAINT/PLASTER (5), ELECTRIC (4), SAFETY (2), MOLD (2), WATER LEAK (1), BELL/BUZZER/INTERCOM (1), CABINET (1)",17,1911,10,40.8404877,-73.9368658,1,17,17,2022,0,,,2022010401192001,2021-12-28,3197000,12
2208,AMSTERDAM AVENUE,10032,MANHATTAN,121852,2024-08-26,2025-09-01,1021260042,1063029,5820,1,500 W 170 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 500 W 170 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",289,62,272,103,"WATER LEAK (18), HEAT/HOT WATER (18), DOOR/WINDOW (11), MOLD (10), PAINT/PLASTER (8), PLUMBING (8), FLOORING/STAIRS (7), ELECTRIC (5), PESTS (4), GARBAGE/RECYCLING STORAGE (4), BELL/BUZZER/INTERCOM (4), OUTSIDE BUILDING (2), COOKING GAS (2), APPLIANCE (1), SIGNAGE MISSING (1)",18,1907,10,40.8410584,-73.9364497,3,16,16,2022,0,,,2021070201552004,2021-06-30,3700000,27
295,FT WASHINGTON AVENUE,10032,MANHATTAN,106443,2024-08-26,2025-09-01,1021390310,1063435,21794,1,295 FW LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 295 FW LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",238,77,318,191,"HEAT/HOT WATER (55), PAINT/PLASTER (23), PLUMBING (23), DOOR/WINDOW (16), PESTS (16), CABINET (14), FLOORING/STAIRS (11), WATER LEAK (9), MOLD (7), APPLIANCE (7), ELECTRIC (6), SAFETY (3), BELL/BUZZER/INTERCOM (1)",53,1922,10,40.8453014,-73.9409455,1,52,0,2022,-52,,,2022010600231007,2021-12-28,8896000,23
558,WEST 189TH STREET,10040,MANHATTAN,108156,2024-08-27,2025-09-01,1021580045,1063823,43603,1,558 W LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 558 W LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",243,15,142,89,"PLUMBING (16), PESTS (16), PAINT/PLASTER (15), DOOR/WINDOW (12), MOLD (10), HEAT/HOT WATER (8), WATER LEAK (4), APPLIANCE (3), FLOORING/STAIRS (2), JANITOR/SUPER (1), GARBAGE/RECYCLING STORAGE (1), CABINET (1)",21,1920,10,40.8537513,-73.9293526,1,19,20,2022,1,,,2022010500264001,2021-12-28,1807000,20
514,EAST 138TH STREET,10454,BRONX,210222,2024-08-27,2025-09-01,2022650027,2000036,62813,1,514-518 138 LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 514-518 138 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",1008,98,1514,210,"HEAT/HOT WATER (64), DOOR/WINDOW (36), WATER LEAK (24), PAINT/PLASTER (19), PLUMBING (18), PESTS (12), MOLD (9), SAFETY (5), APPLIANCE (5), ELECTRIC (5), CABINET (5), FLOORING/STAIRS (5), BELL/BUZZER/INTERCOM (2), GARBAGE/RECYCLING STORAGE (1)",23,1906,8,40.8072052,-73.919089,1,23,23,2022,0,,,2021093000183001,2021-09-24,7500000,29
518,EAST 138TH STREET,10454,BRONX,210223,2024-08-27,2025-09-01,2022650029,2000037,62816,1,514-518 E 138 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 514-518 E 138 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",1291,246,1319,580,"PESTS (111), PAINT/PLASTER (105), FLOORING/STAIRS (56), WATER LEAK (48), APPLIANCE (46), PLUMBING (44), MOLD (31), DOOR/WINDOW (27), BELL/BUZZER/INTERCOM (27), ELECTRIC (20), HEAT/HOT WATER (20), CABINET (18), SAFETY (11), GARBAGE/RECYCLING STORAGE (8), MAILBOX (2), VENTILATION SYSTEM (2), SIGNAGE MISSING (1), JANITOR/SUPER (1), COOKING GAS (1), OUTSIDE BUILDING (1)",23,1906,8,40.8071529,-73.9189662,7,20,23,2022,3,,,2007052300371005,2007-05-17,3500000,40
526,EAST 138TH STREET,10454,BRONX,200794,2024-08-27,2025-09-01,2022650033,2000039,62821,1,526-530-534 E 138 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 526-530-534 E 138 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",1476,143,1508,435,"PESTS (90), DOOR/WINDOW (60), PLUMBING (59), PAINT/PLASTER (49), WATER LEAK (32), HEAT/HOT WATER (25), FLOORING/STAIRS (23), ELECTRIC (22), SAFETY (20), MOLD (17), APPLIANCE (14), MAILBOX (8), BELL/BUZZER/INTERCOM (5), COOKING GAS (4), GARBAGE/RECYCLING STORAGE (4), JANITOR/SUPER (1), VENTILATION SYSTEM (1), SEWAGE (1)",29,1906,8,40.8070264,-73.9186629,5,28,29,2022,1,,,2021093001341003,2021-09-24,17900000,48
530,EAST 138TH STREET,10454,BRONX,200797,2024-08-26,2025-09-01,2022650035,2000040,62824,1,526-530-534 E 138 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 526-530-534 E 138 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",446,64,521,164,"DOOR/WINDOW (29), PLUMBING (20), PAINT/PLASTER (19), PESTS (15), HEAT/HOT WATER (14), APPLIANCE (13), WATER LEAK (13), ELECTRIC (9), MOLD (7), SAFETY (6), CABINET (6), FLOORING/STAIRS (5), GARBAGE/RECYCLING STORAGE (3), BELL/BUZZER/INTERCOM (2), ELEVATOR (2), SEWAGE (1)",40,1906,8,40.8069605,-73.9185077,8,40,0,2022,-40,,,2007052300371009,2007-05-17,8225000,66
534,EAST 138TH STREET,10454,BRONX,200793,2024-08-26,2025-09-01,2022650037,2000041,62827,1,526-530-534 E 138 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 526-530-534 E 138 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",835,46,2858,127,"PLUMBING (29), PESTS (21), DOOR/WINDOW (13), PAINT/PLASTER (12), HEAT/HOT WATER (10), FLOORING/STAIRS (9), WATER LEAK (8), APPLIANCE (7), MOLD (4), CABINET (4), ELECTRIC (3), MAILBOX (3), GARBAGE/RECYCLING STORAGE (2), BELL/BUZZER/INTERCOM (1), SAFETY (1)",40,1906,8,40.8068945,-73.9183488,7,40,40,2022,0,,,2021093001341003,2021-09-24,17900000,63
550,EAST 139TH STREET,10454,BRONX,209250,2024-08-26,2025-09-01,2022660020,2000061,62972,1,550 E 139 LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 550 E 139 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",90,7,159,7,"MOLD (2), HEAT/HOT WATER (1), PAINT/PLASTER (1), APPLIANCE (1), WATER LEAK (1), PLUMBING (1)",10,1931,8,40.8075196,-73.9173583,1,10,10,2022,0,,,2021100101337001,2021-09-24,1675000,
